transaction_id,from_user_id,to_user_id,amount,description,timestamp
TXN20250829100001,USR12345678,USR87654321,500.0,Transfer to Zunaira,2025-08-29T10:01:00Z
TXN20250829100002,USR87654321,USR11223344,1200.5,Payment to Husnain,2025-08-29T10:05:00Z
TXN20250829100004,USR11223344,USR99887766,2500.0,Business payment to Ahmed,2025-08-29T10:12:00Z
TXN20250829100005,USR99887766,USR12345678,300.0,Refund to Hamza,2025-08-29T10:15:00Z
TXN20250829100006,USR87654321,USR55667788,850.25,Gift to Areesha,2025-08-29T10:18:00Z
TXN20250829100008,USR55667788,USR87654321,200.0,Utility bill split,2025-08-29T10:25:00Z
TXN20250830201847,USR12345678,USR87654321,50.0,Test transfer,2025-08-30T20:18:47.147668
TXN20250830202148,USR12345678,USR87654321,100.0,Testing API functionality,2025-08-30T20:21:48.000000
TXN20250830202402,USR12345678,USR87654321,75.5,Test transfer via script,2025-08-30T20:24:02.000000
TXN20250830202925,USR12345678,USR87654321,25.0,Test after cleanup,2025-08-30T20:29:25.000000
TXN20250830203605,USR12345678,USR87654321,30.0,Test with simplified CSV,2025-08-30T20:36:05.566273
TXN20250830203806,USR12345678,USR87654321,75.5,Test transfer via script,2025-08-30T20:38:06.653704
TXN20250830213512,USR12345678,USR87654321,500.0,Money transfer to Amna Sheikh via chatbot,2025-08-30T21:35:12.066776
